"title","count(title)"
"DAMNO",161
"VLTRO",161
"REGNO",160
"INANIS",160
"EXTER",160
"FAMILIA",160
"IMMANIS",160
"STATVO",160
"MVNDVS/1",160
"SACERDOS",159
"ORNO",159
"CONICIO",159
"COMPLEO",159
"ITEM",158
"VATES",158
"MANDO/2",158
"FRVOR",158
"PECVS/1",158
"FACILE",158
"INSTRVO",158
"AESTVS",158
"DEPONO",158
"MAGNITVDO",157
"MAGVS/2",157
"QVIES",157
"NVBO",157
"RESPICIO",157
"COHORS",157
"AEGER/2",157
"PRAETOR",157
"ADVENTVS",156
"EGREGIVS",156
"PVRVS",156
"TORVS",156
"EGREDIOR",156
"EFFVNDO/2",156
"QVIVIS",155
"PROFERO",155
"INFELIX",155
"TAVRVS",155
"SOLVM/1",155
"INDVO",155
"GALLVS/1",155
"FVR",155
"FVRO",154
"COMMOVEO",154
"DECET",154
"MVNIO/2",154
"INSIDIAE",154
"DENSVS",154
"DIVVS/2",153
"TROIANVS/A",153
"VEHO",153
"VICIS",153
"CERTAMEN",153
"OPERA",152
"OBICIO",152
"VERVM/4",152
"ASPER",152
"NIMIS",152
"FVLMEN",152
"NVPER",151
"NERO/N",151
"AGITO",151
"FRONS/2",151
"VVLGVS",151
"CORONA",151
"DIGITVS",151
"VICINVS/2",151
"ARCVS",151
"DESCENDO",150
"PRODO",150
"DECVS",150
"BENEFICIVM",150
"IGNORO",150
"OCCVRRO",149
"REPETO",149
"INSIGNIS",149
"NEGLIGO",149
"NEQVEO",149
"STOLA",149
"REGIVS",149
"FERE",148
"TRIBVO",148
"REVOCO",148
"FVROR/1",148
"FORIS/1",147
"ARGENTVM",147
"BOS",147
"CONIVNGO",147
"ALBVS",147
"MAXIMVS",147
"EQVITATVS/1",147
"SERVIO",147
"IMPLEO",147
"SAGITTA",147
"LAVO/1",146
"ODI",146
"PRAETEREO/1",146
"OTIVM",146
"FORS/1",146
"LIBERO",146
"INSTO",146
"MOTVS",146
"VLTRA/2",145
"RAMVS",145
"IMMORTALIS",145
"REPENTE",145
"INSTITVO",145
"ASTRVM",145
"SIMVLACRVM",144
"PORTVS",144
"FABVLA/1",144
"DILIGENS",144
"MEMORO",143
"OPPRIMO",143
"APPAREO",143
"IACIO",143
"RECEDO/1",142
"TEVCRI/N",142
"INCERTVS",142
"PONTVS",142
"PINGO",141
"MENSIS",141
"ROBVR",141
"VENDO",141
"GENITOR",141
"STERNO",140
"DORMIO",140
"NVNTIVS/1",140
"TARQVINIVS/N",140
"OFFENDO",140
"QVEO",140
"CARPO",140
"VASTVS",140
"DEICIO",140
"FRVMENTVM",140
"VLIXES/N",140
"NVMERO/1",139
"VELVM",139
"PROPIOR",139
"BRITANNIA/N",139
"FOEDVS/1",139
"LIBET",138
"FEROX",138
"VNA",138
"GELIDVS",138
"LETVM",138
"PLERVSQVE",138
"NVNTIO",137
"PRORSVS/2",137
"PRAECEPS/2",137
"POCVLVM",137
"SVPERSVM/1",137
"AMBO/2",137
"INITIVM",137
"BESTIA",136
"OBLIVISCOR",136
"FESSVS",136
"DIGNITAS",136
"MAXIME",136
"PISCIS",136
"EXPERIOR",136
"NOMINO",136
"ONVS",135
"CVPIDITAS",135
"RESISTO",135
"DIVERSVS",135
"SAPIO",135
"IMPEDIO",135
"HORTOR",135
"PASTOR",135
"CERTO/1",135
"COMPARO/2",135
"SECO",135
"CONSVMO",134
"FERIO",134
"OSCVLVM",134
"INFESTVS",134
"VRGEO",134
"NOCTVRNVS",134
"EFFERO/2",134
"SANCIO",134
"INEO/1",133
"PERFERO",133
"MAESTVS",133
"MINOR",133
"MARITVS/1",133
"PRAECIPIO",132
"ODOR",132
"CIEO",132
"TARDVS",132
"HVMOR",132
"IMPELLO",132
"INVITVS",131
"FLVVIVS",131
"DIRVS",131
"INTEGER",131
"PORRO",131
"PERGO",131
"APTVS",130
"REQVIRO",130
"MOLES",130
"HANNIBAL/N",130
"INIQVVS/2",130
"SAPIENTIA",130
"ANTRVM",130
"PORRIGO/2",130
"GERMANI/N",130
"RVFVS/N",130
"GREX",130
"BLANDVS",130
"SVPPLEX/2",130
"VIRIDIS",130
"EXPONO",130
"SILENTIVM",130
"RHENVS/N",129
"IVRO",129
"IGNOTVS",129
"VNIVERSVS",129
"ARDVVS",129
"POTIVS",129
"DECERNO",129
"MVSA/N",129
"ADOLESCENS/2",128
"FAMES",128
"IGNARVS",128
"BELLVS",128
"QVINTVS/N",128
"VTILIS",128
"CASTVS/2",128
"ROMANI/N",128
"MEMOR",128
"ACCENDO",127
"CIRCA/2",127
"DEPREHENDO",127
"HERES",127
"ARENA",127
"ERROR",127
"NVM",126
"DOMINA",126
"BONVM",126
"TREMO",126
"EXITIVM",126
"FAX",126
"PINGVIS",126
"QVOMODO/1",126
"FORMOSVS",126
"FREQVENS",126
"VIGINTI",126
"SVBICIO",125
"EXCITO/1",125
"EXIGVVS",125
"LINQVO",125
"VOVEO",125
"PAVLATIM",125
"ADVERSVS/2",125
"PROXIMVS/2",125
"AGNOSCO",125
"PENITVS/2",125
"VISCVS/2",124
"LIGNVM",124
"SVCCEDO/1",124
"VANVS",124
"FERA",123
"CRVOR",123
"ACCVSO",123
"TVMVLTVS",123
"RESPVBLICA",123
"RAPIDVS",123
"INVADO/2",123
"PLAGA/1",123
"ETSI/2",123
"REVERTO",123
"OBSES",123
"CORRIPIO",123
"RECTVS",122
"ALA",122
"CONSVESCO",122
"DISCIPLINA",122
"DIVERTO",122
"CATILINA/N",122
"SANVS",122
"LIQVIDVS",122
"COLLOCO",122
"HODIE",122
"SONITVS",121
"DEMITTO",121
"DELECTO",121
"CELERITER",121
"SPERNO",121
"CONCIPIO",121
"ASIA/N",121
"FRVX",121
"EQVIDEM",121
"AFFICIO",120
"CELEBRO",120
"PASSIM",120
"INCIDO/1",120
"FRIGIDVS",120
"VILIS",120
"EXCVTIO",119
"ETENIM",119
"TERO",119
"GRADVS",119
"CONSVETVDO",119
"NOTO",119
"HORTVS",119
"SERPENS",118
"RECITO/1",118
"PVPPIS",118
"HAEDVI/N",118
"PELAGVS",118
"LENTVS",118
"FALSVS",118
"REVS",118
"INCENDIVM",118
"PONS",118
"PERSEQVOR",118
"PENNA",118
"FIDVS",118
"MITIS",118
"AVDACIA",118
"LACVS",118
"CLIPEVS",118
"ANIMADVERTO",117
"NECESSARIVS/2",117
"VAGVS",117
"VINDICO",117
"TVRRIS",117
"ASSIDVVS",117
"CVLPA",117
"NONNE",117
"SONVS",117
"NAVTA",117
"THALAMVS",116
"VERSO",116
"MENTIOR",116
"PASSVS/1",116
"LVCTVS",116
"AESTAS",116
"GNAEVS/N",116
"PERTINEO",116
"PVLSO",115
"IMMITTO",115
"CONSPECTVS/1",115
"QVATIO",115
"FRAVS",115
"PRODVCO",115
"PROLES",115
"DELIGO/3",115
"SEV/1",115
"EXTRA/2",115
"ADVENIO",115
"EN",115
"FLOREO",115
"POLLICEOR",115
"HORATIVS/N",115
"SIMVLO",114
"TERROR",114
"INGREDIOR",114
"PRAECLARVS",114
"AVIDVS",114
"AVERTO",114
"DIVVS/1",114
"PISO/N",114
"PALMA",114
"PALVS/2",114
"INVIDEO",113
"IMPIVS",113
"CENO",113
